한가위,Chuseok
박근혜,Park Geun-hye
박근혜 정부,Park administration
후다이,Fudai
와무라 유키에,Kotaku Wamura
만리장성,Great Wall of China
메이지 유신,Meiji era
쇼펜하우어,Schopenhauer
경주미우나리조트,Mauna Ocean Resort in Gyeonju
교육부,Ministry of Education
강원,Gangwon
경북,NorthGyeongsang
쓰나미,tsunami
경주,Gyeongju
작자미상,anonymous writer
가부장제,patriarchal system
핵가족,nuclear families
국가정보원,National Intelligence Service
국정원,National Intelligence Service
원세훈,Won Sei-hoon
서울중앙지검 특별수사팀,Seoul Central District Prosecutors' Office
김용판,Kim Yong-pan
서울지방경찰청,Seoul Metropolitan Police Agency
국가안보,national security
국정원법,NIS Law
법무부,Ministry of Justice
노발대발,the hair stood up with fury
노발충관,hair standing up in anger and pushing off ont's hat
혜문왕,King Hui Wen
인상여,Lin Xiangru
소양왕,King Zhou
사마천,Sima Qian
아랍의 봄,Arab Spring
월스트리트,Wall Street
모스크바,Moscow
아테나,Athens
카피켓,copycat
애플,Apple
스티브 잡스,Steve jobs
삼성,Samsung
구글,Google
모토로라,Motorola
아이패드,iPad
갤럭시탭 7.7,Galaxy Tab 7.7
오데드 센카,Oded Shenkar
오하이오주립대,Ohio State University
피카소,Pablo Picasso
헐리우드,Hollywood
앤드류 잭슨,Andrew jackson
마시,William Marcy
에이브러햄 링컨,Abraham Lincoln
한나라당,Grand National Party
미국,United States
동부 상류계층,Northeastern upper class
영산,sacred mountaion
백두산,Mount Paektu
유달영,Yu Tal-young
고산자 김정호,Gosanja Kim jeong-ho
조선,Joseon
도산,Doeseon
지리산,Mount Jiri
단군,Dangun
육당 최남선,Yukdang Choi Seon-name
백두봉,Paektu Peak
자하봉,Jaha Peak
박종,Park Jong
중국,China
북한,North Korea
남한,South Korea
손자,Sun Tzu
냉전시대,Cold war
소련,”Soviet Union, Soviet"
미국,American
동독,eastern Germany
글리니케 다리,Glienicker Bridge
프랜시스 파워스,Francis Gary Powers
루돌프 아벨,Rudolf Abel
손자병법,the art of war
정주영,Chung Ju-yung
현대,Hyundai
충남,South Chungcheong
천수만,Cheonsu Bay
서산,Seosan
태안군,Taean-gun
서산군,Seosan-gun
가창오리,Baikal teal
시베리아,Siberia
바이칼,Baikal
북극,Arcti
남극,Antarctica
최재천,Choe Jae-chun
아베,Abe
민주당,Democratic Party
후쿠다 야스오,Yasuo Fukuda
후쿠다,Fukudaß
오자와 이치로,Ozawa
하토야마 유키오,Ukio Hatoyama
간 나오토,Naoto Kan
노다 요시히코,Yoshihiko Noda
단카이,Dankai
일본,Japan
야마나시현,Yamamashi Prefecture
나가노현,Nagano Prefecture
노무라,Nomura
이명박,Lee Myung-bak
박정희,Park Chung Hee
광주,Gwangju
심훈,Shim hoon
한림대,Hallym University
박지원,Park Jie-won
민주통합당,Democratic United Party
독일,Germany
베를린,Berlin
로버트 코흐,Robert Koch
하이델베르크,Heidelberg
이집트,Egypt
유럽,Europe
D.H.로렌스,D.H. Lawrence
죽음의 배,Ship of Death
몽크,Edvard Munch
경제협력개발기구,Organization for Economic Co-operation and Development
김성근,Kim Sung-geun
SK 와이번스,SK Wyverns
가네바야시 세이콘,Kanebayashi Seikong
박영길,Park Young-gil
박재범,Park Jaebeom
노무현,Roh Moo-hyun
서울,Seoul
지미 카터,Jimmy Carter
앨 고어,Al Gore
드골,Charles de Gaulle
프랑스,French
김영삼,Kim young-sam
부시,George W.Bush
윌리엄 브라이언,William Bryan
앤드루 잭슨,Andrew Jackson
퀸시 애덤스,John Quincy Adams
닉슨,Ricahrd Nixon
캐네디,John F. Kennedy
프랭클린 루스벨트,Franklin D.Roosevelt
김대중,Kim Dae-jung
진복기,Jin Bok-ki
이회창,Lee hoi-chang
시몬 드 보부아르,Simone de Beauvoir
시지프스의 형벌,torture of Sisyphus
도요타,Toyota
폴크스바겐,Volkswagen
박미현,Park Mi-hyeon
김선혁,Kim Son-hyeok
한국은행,the Bank of Korea
황기철,Hwang Ki-chul
통영,Tongyeong
일광,Ilgwang Group
이규태,Lee Kyu-tae
방위사업체,the Defense Acquisition Program Administration
김진태,Kim Jin-tae
충남,South Chungcheong
메르스,MERS
저우융캉,Zhou Yongkang
세월호,Sewol Ferry
한국선급,the Korea Shipping Association
대공황,the Great Depression
러시아,Russia
가즈프롬,Gazprom
런던,London
뉴옥,New York
파리,Paris
발렌시엥,Valenciennes
몽골피에,Montgolfier
타피,Tapie
프랑수아 미테랑,Francois Mitterrand
엘리제궁,Elysee Palace
나스,Nice
스위스,Switzerland
아이나비,iNavi
팅크웨어,Thinkware
권현웅,Gyeon Hyeon-ung
엠엔소프트,Mn Soft
안설이,Ahn Seol-e
보건복지부,Ministry of Health and Welfare
여의도,Yeouido
황금평,Hwanggumpyon
나선,Rason
아무르,Amur
울란우데,Ulan-Ude
메드베데프,Dmitry Medvedev
사할린,SAKHALIN
노벨,Nobel
무라카미 하루키,Murakami Haruki
톨스토이,Tolstoy
쉴리 프뤼돔,Sully Prudhomme
닥터 지바고,Doctor Zhivago
보리스 파스테르나크,Boris Leonidovich Pasternak
다나카,Tanaka
고양,Goyang
미네르바,Minerva
서울대,SNU
KAIST,Korean Advanced Institute for Science and Technology
홍콩,Hong Kong
광둥,Guangdong
이재담,Lee Jae-dean
울산,Ulsan
이탈리아,Italia
카르다노,Girolamo Cardano
한스 브라이터,Hans C. Breiter
전국가족폭력조사연구,National Family Violence Survey
